n,T,t,p_j
10,198,12,"[28, 36, 47, 47, 2, 31, 3, 30, 43, 31]"
10,175,18,"[40, 23, 25, 23, 1, 1, 14, 14, 39, 35]"
10,162,8,"[31, 40, 16, 28, 18, 12, 47, 44, 22, 47]"
10,170,15,"[43, 17, 37, 39, 15, 38, 37, 21, 12, 27]"
10,157,13,"[33, 12, 49, 47, 45, 46, 26, 16, 29, 31]"
10,160,8,"[28, 35, 38, 49, 45, 14, 12, 43, 29, 4]"
10,192,12,"[38, 4, 47, 38, 29, 8, 42, 36, 17, 27]"
10,196,8,"[28, 20, 31, 18, 48, 27, 7, 13, 31, 39]"
10,171,6,"[15, 43, 25, 17, 29, 13, 46, 5, 19, 9]"
10,166,7,"[18, 23, 15, 45, 43, 43, 45, 1, 12, 11]"
10,152,18,"[38, 7, 34, 26, 8, 46, 38, 17, 21, 25]"
10,176,17,"[37, 29, 27, 10, 22, 39, 48, 20, 19, 19]"
10,164,7,"[39, 43, 34, 41, 45, 21, 35, 32, 37, 15]"
10,183,19,"[15, 19, 44, 7, 6, 26, 22, 20, 29, 25]"
10,152,15,"[25, 43, 7, 34, 34, 48, 25, 2, 6, 4]"
10,168,9,"[5, 30, 44, 23, 24, 38, 5, 22, 24, 45]"
10,173,13,"[8, 6, 24, 16, 4, 23, 8, 39, 5, 14]"
10,172,6,"[17, 3, 35, 30, 45, 10, 12, 15, 26, 44]"
10,186,11,"[41, 47, 24, 24, 10, 5, 21, 30, 11, 12]"
10,155,6,"[23, 49, 19, 31, 3, 36, 50, 34, 33, 42]"
10,163,13,"[10, 7, 35, 19, 16, 47, 35, 32, 26, 46]"
10,160,14,"[21, 31, 14, 37, 29, 21, 3, 24, 39, 46]"
10,175,14,"[26, 22, 39, 41, 9, 14, 11, 19, 50, 7]"
10,191,16,"[15, 20, 22, 13, 36, 44, 42, 17, 28, 9]"
10,156,14,"[50, 36, 49, 16, 17, 30, 14, 28, 26, 40]"
10,191,6,"[5, 11, 4, 11, 27, 44, 23, 31, 31, 41]"
10,177,17,"[13, 49, 4, 48, 2, 42, 31, 48, 31, 13]"
10,179,18,"[14, 8, 46, 27, 31, 7, 17, 19, 22, 14]"
10,160,14,"[14, 46, 14, 26, 46, 27, 11, 40, 34, 41]"
10,161,16,"[12, 12, 5, 33, 9, 15, 9, 19, 1, 32]"
10,178,9,"[30, 10, 41, 8, 12, 5, 7, 14, 7, 40]"
10,154,9,"[24, 25, 45, 19, 2, 31, 25, 19, 25, 2]"
10,179,15,"[1, 40, 44, 18, 11, 10, 19, 3, 16, 48]"
10,195,9,"[31, 33, 49, 3, 12, 4, 21, 28, 22, 30]"
10,158,15,"[6, 17, 23, 24, 23, 9, 28, 39, 32, 35]"
10,178,12,"[19, 38, 45, 31, 5, 4, 42, 10, 36, 38]"
